"","Category","Operating.Name","city","Zip","Street","Address","lat","long","lamda","mu","qCustomer","tCustomer"
"88","BUILDING RENOVATOR","ACE PAINTING COMPANY","TORONTO, ON","M4B 3H6","CRANFIELD RD","39 CRANFIELD RD,TORONTO, ON,M4B 3H6",43.71391,-79.3103923,5,0.5,11,2.27420471470007
"89","BUILDING RENOVATOR","THE CITY WIDE GROUP INC","TORONTO, ON","M4B 3N4","HOLLINGER RD","25 HOLLINGER RD,TORONTO, ON,M4B 3N4",43.710803,-79.31531748,5,0.5,7,0.350613187913342
"90","PLUMBING CONTRACTOR","M.E.P. MECHANICAL","TORONTO, ON","M4B 2T8","O'CONNOR DR","1500 O'CONNOR DR,TORONTO, ON,M4B 2T8",43.71375497,-79.30657653,2,0.5,2,0.160727450624108
"91","MOTORIZED REFRESHMENT VEHICLE OWNER","SLAYER BURGER","TORONTO, ON","M4B 2T8","O'CONNOR DR","1400 O'CONNOR DR,TORONTO, ON,M4B 2T8",43.712842,-79.3075535,5,0.5,3,0.174228937365115
"92","DRIVING SCHOOL OPERATOR (B)","ALBERT DRIVING SCHOOL","TORONTO, ON","M4C 1L7","DANFORTH AVE","2704 DANFORTH AVE,TORONTO, ON,M4C 1L7",43.68905873,-79.29838792,5,1,4,0.0934997666627169
"93","DRIVING SCHOOL OPERATOR (B)","WINSTON'S DRIVING ACADEMY","TORONTO, ON","M4C 1J8","DANFORTH AVE","2069 DANFORTH AVE,TORONTO, ON,M4C 1J8",43.68546965,-79.31310839,5,1,3,0.00208190463142491
"94","DRIVING SCHOOL OPERATOR (B)","HUR DRIVING ACADEMY","TORONTO, ON","M4C 4X3","MAIN ST","265 MAIN ST,TORONTO, ON,M4C 4X3",43.687622,-79.299878,5,1,7,1.95041718698087
"95","DRIVING SCHOOL OPERATOR (B)","YOUNG STAR DRIVING SCHOOL","TORONTO, ON","M4C 1J9","DANFORTH AVE","2084 DANFORTH AVE,TORONTO, ON,M4C 1J9",43.6858878,-79.31247984,5,1,4,0.822735102805209
"96","DRIVING SCHOOL OPERATOR (B)","TRILLIUM DRIVING SCHOOL","TORONTO, ON","M4C 1M6","DANFORTH AVE","2986 DANFORTH AVE,TORONTO, ON,M4C 1M6",43.69057512,-79.29175991,5,1,6,0.13893430493772
"97","DRIVE-SELF RENTAL OWNER","ADVANTAGE CAR & TRUCK RENTALS LTD","TORONTO, ON","M4C 1M9","DANFORTH AVE","3003 DANFORTH AVE,TORONTO, ON,M4C 1M9",43.689662,-79.28900608,10,0.33,14,3.36749252257838
"98","HOLISTIC CENTRE","MANY CHANCES HEALTH SPA","TORONTO, ON","M4C 1K9","DANFORTH AVE","2428 DANFORTH AVE,TORONTO, ON,M4C 1K9",43.68771808,-79.30469087,5,1.5,4,0.642133839400419
"99","HOLISTIC CENTRE","SUN WELLNESS","TORONTO, ON","M4C 1M9","DANFORTH AVE","3003 DANFORTH AVE,TORONTO, ON,M4C 1M9",43.689662,-79.28900608,5,1.5,5,0.127639602248867
"100","PLACE OF AMUSEMENT","KIDS FUN TOWN","TORONTO, ON","M4C 1J8","DANFORTH AVE","2073 DANFORTH AVE,TORONTO, ON,M4C 1J8",43.68548627,-79.31303074,15,1,18,1.12437334838779
"101","BILLIARD HALL","GROOVE SPORTS BAR","TORONTO, ON","M4C 1J4","DANFORTH AVE","1952 DANFORTH AVE,TORONTO, ON,M4C 1J4",43.68522575,-79.31553167,20,1,16,1.11558991480143
"102","BILLIARD HALL","SEB'S CAPUCCINO","TORONTO, ON","M4C 1J4","DANFORTH AVE","1928 DANFORTH AVE,TORONTO, ON,M4C 1J4",43.68509791,-79.31611447,20,1,15,0.961443585943526
"103","RETAIL STORE (FOOD)","PRINCE OF WALES FRUIT MARKET","TORONTO, ON","M4C 1H8","DANFORTH AVE","1846 DANFORTH AVE,TORONTO, ON,M4C 1H8",43.6847577,-79.3178967,25,1,23,0.844659915151906
"104","RETAIL STORE (FOOD)","HEALTH SERVICE CENTRE","TORONTO, ON","M4C 1L7","DANFORTH AVE","2650 DANFORTH AVE,TORONTO, ON,M4C 1L7",43.68876756,-79.29969278,25,1,28,1.9277132487947
"105","RETAIL STORE (FOOD)","SOBEYS","TORONTO, ON","M4C 1L1","DANFORTH AVE","2451 DANFORTH AVE,TORONTO, ON,M4C 1L1",43.6873839,-79.3047551,25,1,15,0.000757777830001058
"106","RETAIL STORE (FOOD)","DOLLAR A M A","TORONTO, ON","M4C 1M9","DANFORTH AVE","3003 DANFORTH AVE,TORONTO, ON,M4C 1M9",43.689662,-79.28900608,25,1,32,0.147059808019549
